station,city,latitude,longitude,PM2.5,PM10,NO2,SO2,CO,overall_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,hour,target_aqi_next_6h,timestamp
"32Bungalows, Bhilai - CECB",Bhilai,21.19,81.31,32.0,75.0,0.0,9.0,43.0,75.0,28.9,37,6.6,77,981.1,12,75.0,2026-02-13T12:17:06.460076
"AIIMS, Raipur - CECB",Raipur,21.26,81.58,0.0,0.0,0.0,6.0,59.0,59.0,29.1,34,5.5,79,982.5,12,59.0,2026-02-13T12:17:06.460076
"Adarsh Nagar, Jaipur - RSPCB",Jaipur,26.9,75.84,158.0,0.0,42.0,23.0,60.0,158.0,25.9,29,8.1,257,963.9,12,158.0,2026-02-13T12:17:06.460076
"Airport Area, Indore - IMC",Indore,22.73,75.81,196.0,108.0,55.0,3.0,13.0,196.0,29.1,37,3.6,143,953.1,12,196.0,2026-02-13T12:17:06.460076
"Alipur, Delhi - DPCC",Delhi,28.82,77.15,222.0,182.0,57.0,10.0,46.0,222.0,20.8,67,6.6,279,992.0,12,222.0,2026-02-13T12:17:06.460076
"Ambazari, Nagpur - MPCB",Nagpur,21.12,79.05,180.0,131.0,0.0,34.0,38.0,180.0,29.0,41,8.6,88,978.9,12,180.0,2026-02-13T12:17:06.460076
"Amity University, Panchgaon - IITM",Panchgaon,28.32,76.91,33.0,35.0,28.0,19.0,0.0,35.0,21.8,55,7.4,293,983.2,12,35.0,2026-02-13T12:17:06.460076
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,16.99,81.74,94.0,110.0,39.0,17.0,33.0,110.0,30.9,35,5.2,102,1012.5,12,110.0,2026-02-13T12:17:06.460076
"Anand Vihar, Delhi - DPCC",Delhi,28.65,77.32,238.0,211.0,90.0,20.0,84.0,238.0,22.0,52,7.1,285,992.6,12,238.0,2026-02-13T12:17:06.460076
"Anand Vihar, Hapur - UPPCB",Hapur,28.73,77.75,186.0,113.0,21.0,38.0,54.0,186.0,20.7,65,7.6,278,991.7,12,186.0,2026-02-13T12:17:06.460076
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",Gummidipoondi,13.41,80.11,198.0,160.0,22.0,19.0,0.0,198.0,29.3,53,12.7,43,1011.7,12,198.0,2026-02-13T12:17:06.460076
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,25.35,82.91,59.0,70.0,42.0,10.0,14.0,70.0,25.2,55,7.9,286,1006.0,12,70.0,2026-02-13T12:17:06.460076
"Arumbakkam, Chennai - TNPCB",Chennai,13.07,80.21,71.0,102.0,13.0,9.0,0.0,102.0,29.6,53,11.2,42,1012.2,12,102.0,2026-02-13T12:17:06.460076
"Arya Nagar, Bahadurgarh - HSPCB",Bahadurgarh,28.67,76.93,241.0,0.0,13.0,7.0,48.0,241.0,21.8,59,7.4,284,991.8,12,241.0,2026-02-13T12:17:06.460076
"Asansol Court Area, Asansol - WBPCB",Asansol,23.69,86.95,120.0,107.0,23.0,13.0,75.0,120.0,26.8,34,7.9,357,1000.3,12,120.0,2026-02-13T12:17:06.460076
"Ashok Nagar, Udaipur - RSPCB",Udaipur,24.59,73.63,119.0,128.0,31.0,5.0,24.0,128.0,26.7,35,8.9,243,942.0,12,128.0,2026-02-13T12:17:06.460076
"Ashok Vihar, Delhi - DPCC",Delhi,28.7,77.18,213.0,160.0,72.0,18.0,26.0,213.0,21.2,62,7.3,281,991.1,12,213.0,2026-02-13T12:17:06.460076
"B R Ambedkar University, Lucknow - UPPCB",Lucknow,26.77,80.93,47.0,55.0,12.0,21.0,19.0,55.0,23.4,53,10.0,291,1002.1,12,55.0,2026-02-13T12:17:06.460076
"BTM Layout, Bengaluru - CPCB",Bengaluru,12.91,77.6,86.0,95.0,12.0,17.0,0.0,95.0,29.5,20,14.0,89,916.0,12,95.0,2026-02-13T12:17:06.460076
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,12.94,77.68,91.0,175.0,18.0,5.0,37.0,175.0,29.0,21,11.9,85,919.7,12,175.0,2026-02-13T12:17:06.460076
"Ballygunge, Kolkata - WBPCB",Kolkata,22.54,88.36,187.0,131.0,61.0,22.0,48.0,187.0,26.6,46,7.5,343,1013.3,12,187.0,2026-02-13T12:17:06.460076
"Bamboliya, Baran - RSPCB",Baran,25.11,76.47,54.0,93.0,23.0,9.0,18.0,93.0,25.8,60,4.0,175,986.1,12,93.0,2026-02-13T12:17:06.460076
"Bandhavgar Colony, Satna - Birla Cement",Satna,24.58,80.85,50.0,70.0,12.0,19.0,0.0,70.0,26.8,41,4.6,309,978.8,12,70.0,2026-02-13T12:17:06.460076
"Bandra Kurla Complex, Mumbai - IITM",Mumbai,19.05,72.85,137.0,136.0,39.0,6.0,56.0,137.0,26.3,70,6.5,304,1012.5,12,137.0,2026-02-13T12:17:06.460076
